Latitude,Longitude
-7.355487559,112.774273485
-7.355488626,112.774276991
-7.355488626,112.774276991
-7.355488626,112.774276991
-7.355488626,112.774276991
-7.355488626,112.774276991
-7.355488626,112.774276991
-7.355487559,112.774273485
-7.355487111,112.774281836
-7.355487111,112.774281836
-7.355487111,112.774281836
-7.355486044,112.77427833
-7.355494563,112.774286681
-7.355494563,112.774286681
-7.355493496,112.774283175
-7.355493496,112.774283175
-7.355493496,112.774283175
-7.355493048,112.774291526
-7.355493048,112.774291526
-7.35549198,112.77428802
-7.35549198,112.77428802
-7.35549198,112.77428802
-7.35549198,112.77428802
-7.355491532,112.774296371
-7.355491532,112.774296371
-7.3555005,112.774296371
-7.3555005,112.774296371
-7.3555005,112.774296371
-7.355499433,112.774292865
-7.355499433,112.774292865
-7.355499433,112.774292865
-7.355498984,112.774301216
-7.355498984,112.774301216
-7.355498984,112.774301216
-7.355498984,112.774301216
-7.355498984,112.774301216
-7.355498984,112.774301216
-7.355498984,112.774301216
-7.355498984,112.774301216
-7.355497917,112.77429771
-7.355497917,112.77429771
-7.355497917,112.77429771
-7.355497917,112.77429771
-7.355497917,112.77429771
-7.355497917,112.77429771
-7.355497469,112.774306061
-7.355497469,112.774306061
-7.355497469,112.774306061
-7.355497469,112.774306061
-7.355497469,112.774306061
-7.355497469,112.774306061
-7.355497469,112.774306061
-7.355497469,112.774306061
-7.355497469,112.774306061
-7.355497469,112.774306061
-7.355497469,112.774306061
-7.355497469,112.774306061
-7.355497469,112.774306061
-7.355497469,112.774306061
-7.355497469,112.774306061
-7.355497469,112.774306061
-7.355505369,112.774302555
-7.355505369,112.774302555
-7.355505369,112.774302555
-7.355505369,112.774302555
-7.355505369,112.774302555
-7.355505369,112.774302555
-7.355505369,112.774302555
-7.355505369,112.774302555
-7.355505369,112.774302555
-7.355505369,112.774302555
-7.355505369,112.774302555
-7.355505369,112.774302555
-7.355505369,112.774302555
-7.355505369,112.774302555
-7.355505369,112.774302555
-7.355505369,112.774302555
-7.355505369,112.774302555
-7.355505369,112.774302555
-7.355504921,112.774310906
-7.355504921,112.774310906
-7.355504921,112.774310906
-7.355504921,112.774310906
-7.355504921,112.774310906
-7.355504921,112.774310906
-7.355504921,112.774310906
-7.355504921,112.774310906
-7.355504921,112.774310906
-7.355504921,112.774310906
-7.355504921,112.774310906
-7.355504921,112.774310906
-7.355504921,112.774310906
-7.355504921,112.774310906
-7.355504921,112.774310906
